iter	Accuracy	MultiClass
217	0.8331606218	0.4166830572
218	0.8333137577	0.4164022776
219	0.8333999896	0.416348702
220	0.8334193174	0.4162789154
221	0.8334594599	0.4161532216
222	0.8335114963	0.4160643682
223	0.8335902945	0.4159652182
224	0.8336363839	0.4159089812
225	0.8337003144	0.4157432285
226	0.8337345099	0.4156172905
227	0.8337984404	0.4155173628
228	0.8338534504	0.4154270174
229	0.8338787253	0.4153339627
230	0.8339144074	0.4152597397
231	0.8339337353	0.4151884569
232	0.8339813115	0.4149829818
233	0.834033348	0.4148990701
234	0.8340868712	0.4147489386
235	0.8341240401	0.4146429562
236	0.8341701296	0.4145651738
237	0.8341939177	0.414367706
238	0.8343009642	0.4142297175
239	0.8343931431	0.4141429759
240	0.8344258517	0.4140167943
241	0.834479375	0.4139523693
242	0.8345076233	0.4138773909
243	0.8345447923	0.4137193371
244	0.8346265639	0.4135596021
245	0.8346473785	0.4134926262
246	0.8347559117	0.4133954423
247	0.8348168687	0.4133030268
248	0.8348807993	0.4130212049
249	0.8349818987	0.4129008234
250	0.8350190677	0.4128092574
251	0.8351186804	0.412445699
252	0.8351811241	0.4123775281
253	0.8352242401	0.4122322889
254	0.8352361341	0.4120943196
255	0.8352718163	0.4119835473
256	0.8352926309	0.4118546176
257	0.8353402071	0.411803511
258	0.8354175185	0.4117496378
259	0.8354695549	0.4116761472
260	0.8355201047	0.4115497185
261	0.8355632206	0.411303636
262	0.8355944425	0.4111995725
263	0.8356330982	0.4111430641
264	0.835695542	0.4110174526
265	0.8357341976	0.4109717547
266	0.8357341976	0.4107985271
267	0.8357713666	0.4107515316
268	0.8358189428	0.4106651648
269	0.8358709793	0.4105562801
270	0.8359453171	0.4103766444
271	0.8360047874	0.4101782839
272	0.8360360092	0.4100789174
273	0.8360880457	0.4100346636
274	0.8361267014	0.4099689842
275	0.8363318738	0.4097798896
276	0.8363749898	0.4097105951
277	0.8364136455	0.4096431754
278	0.8364493276	0.4095132691
279	0.836532586	0.4094512872
280	0.8365489403	0.4092934798
281	0.8365890827	0.4092349957
